Source_Description,Source_GCAS,Target_GCAS,Washout_Type
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh
(FOP Gcas 90275009)",90275009,98677867,x
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black
(FOP Gcas - 21055594)",21055594,98677867,x
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
(FOP Gcas - 21055593)",21055593,98677867,x
"Pantene Pro-V Hair Science Luscious Thick shampoo 
 (FOP Gcas -21309188)",21309188,98677867,x
"Pantene Pro-V Hair Science Deep Repair shampoo 
(FOP Gcas 21302239 )",21302239,98677867,x
"Pantene Pro-V Hair Science Hairfall Control shampoo 
(FOP Gcas -21302239 ",21302239,98677867,x
"Pantene Pro-V Hair Science Healthy Shine shampoo 
(FOP Gcas -21302240)",21302240,98677867,x
"Pantene Pro-V Hair Science Silky Smooth shampoo
(FOP Gcas -21302240)",21302240,98677867,x
"PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth 
(FOP Gcas-  21309190 )",21309190,98677867,x
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control

PTN Pro-V 2 in1 Shampoo + Conditioner Deep Repair
(FOP Gcas- 21309189 )
",21309189,98677867,x
"Pantene Pro-V Hair Fall Control Conditioner
(FOP Gcas- 21090111)",21090111,98677867,WASH
"Pantene Pro-V Silky Smooth Conditioner
(FOP Gcas- 21090112)
",21090112,98677867,WASH
Sodium HC Base EGDS Premix,95619314,98677867,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh
(FOP Gcas 90275009)",90275009,21090111,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black
(FOP Gcas - 21055594)",21055594,21090111,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
(FOP Gcas - 21055593)",21055593,21090111,WASH
"Pantene Pro-V Hair Science Luscious Thick shampoo 
 (FOP Gcas -21309188)",21309188,21090111,WASH
"Pantene Pro-V Hair Science Deep Repair shampoo 
(FOP Gcas 21302239 )",21302239,21090111,WASH
"Pantene Pro-V Hair Science Hairfall Control shampoo 
(FOP Gcas -21302239 ",21302239,21090111,WASH
"Pantene Pro-V Hair Science Healthy Shine shampoo 
(FOP Gcas -21302240)",21302240,21090111,WASH
"Pantene Pro-V Hair Science Silky Smooth shampoo
(FOP Gcas -21302240)",21302240,21090111,WASH
"PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth 
(FOP Gcas-  21309190 )",21309190,21090111,WASH
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control

PTN Pro-V 2 in1 Shampoo + Conditioner Deep Repair
(FOP Gcas- 21309189 )
",21309189,21090111,WASH
"Pantene Pro-V Hair Fall Control Conditioner
(FOP Gcas- 21090111)",21090111,21090111,WASH
"Pantene Pro-V Silky Smooth Conditioner
(FOP Gcas- 21090112)
",21090112,21090111,WASH
Sodium HC Base EGDS Premix,95619314,21090111,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh
(FOP Gcas 90275009)",90275009,21090112,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black
(FOP Gcas - 21055594)",21055594,21090112,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
(FOP Gcas - 21055593)",21055593,21090112,WASH
"Pantene Pro-V Hair Science Luscious Thick shampoo 
 (FOP Gcas -21309188)",21309188,21090112,WASH
"Pantene Pro-V Hair Science Deep Repair shampoo 
(FOP Gcas 21302239 )",21302239,21090112,WASH
"Pantene Pro-V Hair Science Hairfall Control shampoo 
(FOP Gcas -21302239 ",21302239,21090112,WASH
"Pantene Pro-V Hair Science Healthy Shine shampoo 
(FOP Gcas -21302240)",21302240,21090112,WASH
"Pantene Pro-V Hair Science Silky Smooth shampoo
(FOP Gcas -21302240)",21302240,21090112,WASH
"PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth 
(FOP Gcas-  21309190 )",21309190,21090112,WASH
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control

PTN Pro-V 2 in1 Shampoo + Conditioner Deep Repair
(FOP Gcas- 21309189 )
",21309189,21090112,WASH
