last_update_utc_tmstp,Line,plan_plant_id,order_No,P_Code,Description,batch_NO,start_date,start_time,End_date,End_time,Planned_Quantity,base_uom,load_utc_time
2026-02-13 06:42:27,INC1,7724,910780994,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6042930218,2026-02-11,14:12:02,2026-02-11,18:36:36,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910788567,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6047930219,2026-02-16,16:49:08,2026-02-16,21:13:42,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910788598,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6047930217,2026-02-16,08:00:00,2026-02-16,12:24:34,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910781094,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,604293021A,2026-02-11,09:47:28,2026-02-11,14:12:02,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910788404,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6047930216,2026-02-16,21:13:42,2026-02-17,01:38:16,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910785900,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6044930217,2026-02-13,14:42:16,2026-02-13,19:06:50,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910783428,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,604293021C,2026-02-11,23:01:10,2026-02-12,03:25:44,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910783528,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,604393021A,2026-02-12,07:50:18,2026-02-12,12:14:52,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910783645,80875094,H&S SHM 5.7MLX960 CHARCOAL DC IN,6044930215,2026-02-13,01:28:34,2026-02-13,05:53:08,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910788566,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6047930218,2026-02-16,12:24:34,2026-02-16,16:49:08,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910781098,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,604293021B,2026-02-11,18:36:36,2026-02-11,23:01:10,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910785978,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6044930218,2026-02-13,05:53:08,2026-02-13,10:17:42,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910778400,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6041930216,2026-02-10,16:09:12,2026-02-10,20:33:46,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910778489,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6041930217,2026-02-10,20:33:46,2026-02-11,00:58:20,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC1,7724,910778523,83900263,H&S SHM 5.7MLX960 DAILY CLEAN IN GST FC,6041930215,2026-02-10,11:44:38,2026-02-10,16:09:12,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC4,7724,910783527,83900259,H&S SHM 5.7MLX1200 DAILY CLEAN IN GST FC,604393024A,2026-02-12,09:51:19,2026-02-12,14:58:44,1660,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC4,7724,910781097,83900259,H&S SHM 5.7MLX1200 DAILY CLEAN IN GST FC,6042930247,2026-02-11,10:29:03,2026-02-11,15:36:28,1660,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC4,7724,910781178,83900259,H&S SHM 5.7MLX1200 DAILY CLEAN IN GST FC,6041930247,2026-02-10,21:21:38,2026-02-11,10:29:03,1660,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC4,7724,910783581,83900207,H&S SHM 5.7MLX1200 DS IN GST FC,6043930249,2026-02-13,09:13:35,2026-02-13,11:47:17,830,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC4,7724,910783552,83900261,H&S SHM 5.7MLX 960 DS IN GST FC,6044930247,2026-02-16,09:32:25,2026-02-16,14:39:59,2076,CS,2026-02-13 14:28:47
2026-02-13 06:42:27,INC4,7724,910788717,83900262,H&S SHM 5.7MLX1200 DAILY COOL IN GST FC,6047930247,2026-02-16,17:13:42,2026-02-16,22:21:07,1660,CS,2026-02-13 14:28:47
