ID,From_Varient,To_Varient,WO,Updated_by,Updated_dt,Approved_by,Approved_dt
1,PTN LB (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
2,PTN LB (Colossus),H&S BC,1,System,20:58.7,NULL,NULL
3,PTN LB (Colossus),PTN AD (Colossus),1,System,20:58.7,NULL,NULL
4,PTN LB (Colossus),PTN LC (Colossus),1,System,20:58.7,NULL,NULL
5,PTN LB (Colossus),PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
6,PTN LB (Colossus),PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
7,PTN LB (Colossus),PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
8,PTN LB (Colossus),H&S CBT/ Basic Cool,1,System,20:58.7,NULL,NULL
9,PTN LB (Colossus),H&S LF,1,System,20:58.7,NULL,NULL
10,PTN LB (Colossus),H&S CM,1,System,20:58.7,NULL,NULL
11,PTN LB (Colossus),H&S SS,1,System,20:58.7,NULL,NULL
12,PTN LB (Colossus),H&S SB,1,System,20:58.7,NULL,NULL
13,PTN LB (Colossus),H&S DSC,1,System,20:58.7,NULL,NULL
14,PTN LB (Colossus),H&S AHF,1,System,20:58.7,NULL,NULL
15,H&S BC,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
16,H&S BC,H&S BC,0,System,20:58.7,NULL,NULL
17,H&S BC,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
18,H&S BC,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
19,H&S BC,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
20,H&S BC,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
21,H&S BC,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
22,H&S BC,H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
23,H&S BC,H&S LF,0,System,20:58.7,NULL,NULL
24,H&S BC,H&S CM,0,System,20:58.7,NULL,NULL
25,H&S BC,H&S SS,0,System,20:58.7,NULL,NULL
26,H&S BC,H&S SB,0,System,20:58.7,NULL,NULL
27,H&S BC,H&S DSC,0,System,20:58.7,NULL,NULL
28,H&S BC,H&S AHF,0,System,20:58.7,NULL,NULL
29,PTN AD (Colossus),PTN LB (Colossus),1,System,20:58.7,NULL,NULL
30,PTN AD (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
31,PTN AD (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
32,PTN AD (Colossus),PTN LC (Colossus),1,System,20:58.7,NULL,NULL
33,PTN AD (Colossus),PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
34,PTN AD (Colossus),PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
35,PTN AD (Colossus),PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
36,PTN AD (Colossus),H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
37,PTN AD (Colossus),H&S LF,0,System,20:58.7,NULL,NULL
38,PTN AD (Colossus),H&S CM,0,System,20:58.7,NULL,NULL
39,PTN AD (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
40,PTN AD (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
41,PTN AD (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
42,PTN AD (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
43,PTN LC (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
44,PTN LC (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
45,PTN LC (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
46,PTN LC (Colossus),PTN LC (Colossus),0,System,20:58.7,NULL,NULL
47,PTN LC (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
48,PTN LC (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
49,PTN LC (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
50,PTN LC (Colossus),H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
51,PTN LC (Colossus),H&S LF,0,System,20:58.7,NULL,NULL
52,PTN LC (Colossus),H&S CM,0,System,20:58.7,NULL,NULL
53,PTN LC (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
54,PTN LC (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
55,PTN LC (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
56,PTN LC (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
57,PTN SSC/ DMR (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
58,PTN SSC/ DMR (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
59,PTN SSC/ DMR (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
60,PTN SSC/ DMR (Colossus),PTN LC (Colossus),1,System,20:58.7,NULL,NULL
61,PTN SSC/ DMR (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
62,PTN SSC/ DMR (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
63,PTN SSC/ DMR (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
64,PTN SSC/ DMR (Colossus),H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
65,PTN SSC/ DMR (Colossus),H&S LF,0,System,20:58.7,NULL,NULL
66,PTN SSC/ DMR (Colossus),H&S CM,0,System,20:58.7,NULL,NULL
67,PTN SSC/ DMR (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
68,PTN SSC/ DMR (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
69,PTN SSC/ DMR (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
70,PTN SSC/ DMR (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
71,PTN TDC (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
72,PTN TDC (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
73,PTN TDC (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
74,PTN TDC (Colossus),PTN LC (Colossus),1,System,20:58.7,NULL,NULL
75,PTN TDC (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
76,PTN TDC (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
77,PTN TDC (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
78,PTN TDC (Colossus),H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
79,PTN TDC (Colossus),H&S LF,0,System,20:58.7,NULL,NULL
80,PTN TDC (Colossus),H&S CM,0,System,20:58.7,NULL,NULL
81,PTN TDC (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
82,PTN TDC (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
83,PTN TDC (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
84,PTN TDC (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
85,PTN HFC (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
86,PTN HFC (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
87,PTN HFC (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
88,PTN HFC (Colossus),PTN LC (Colossus),1,System,20:58.7,NULL,NULL
89,PTN HFC (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
90,PTN HFC (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
91,PTN HFC (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
92,PTN HFC (Colossus),H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
93,PTN HFC (Colossus),H&S LF,0,System,20:58.7,NULL,NULL
94,PTN HFC (Colossus),H&S CM,0,System,20:58.7,NULL,NULL
95,PTN HFC (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
96,PTN HFC (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
97,PTN HFC (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
98,PTN HFC (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
99,H&S CBT/ Basic Cool,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
100,H&S CBT/ Basic Cool,H&S BC,0,System,20:58.7,NULL,NULL
101,H&S CBT/ Basic Cool,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
102,H&S CBT/ Basic Cool,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
103,H&S CBT/ Basic Cool,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
104,H&S CBT/ Basic Cool,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
105,H&S CBT/ Basic Cool,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
106,H&S CBT/ Basic Cool,H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
107,H&S CBT/ Basic Cool,H&S LF,0,System,20:58.7,NULL,NULL
108,H&S CBT/ Basic Cool,H&S CM,0,System,20:58.7,NULL,NULL
109,H&S CBT/ Basic Cool,H&S SS,0,System,20:58.7,NULL,NULL
110,H&S CBT/ Basic Cool,H&S SB,0,System,20:58.7,NULL,NULL
111,H&S CBT/ Basic Cool,H&S DSC,0,System,20:58.7,NULL,NULL
112,H&S CBT/ Basic Cool,H&S AHF,0,System,20:58.7,NULL,NULL
113,H&S LF,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
114,H&S LF,H&S BC,0,System,20:58.7,NULL,NULL
115,H&S LF,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
116,H&S LF,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
117,H&S LF,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
118,H&S LF,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
119,H&S LF,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
120,H&S LF,H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
121,H&S LF,H&S LF,0,System,20:58.7,NULL,NULL
122,H&S LF,H&S CM,0,System,20:58.7,NULL,NULL
123,H&S LF,H&S SS,0,System,20:58.7,NULL,NULL
124,H&S LF,H&S SB,0,System,20:58.7,NULL,NULL
125,H&S LF,H&S DSC,0,System,20:58.7,NULL,NULL
126,H&S LF,H&S AHF,0,System,20:58.7,NULL,NULL
127,H&S CM,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
128,H&S CM,H&S BC,0,System,20:58.7,NULL,NULL
129,H&S CM,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
130,H&S CM,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
131,H&S CM,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
132,H&S CM,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
133,H&S CM,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
134,H&S CM,H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
135,H&S CM,H&S LF,0,System,20:58.7,NULL,NULL
136,H&S CM,H&S CM,0,System,20:58.7,NULL,NULL
137,H&S CM,H&S SS,0,System,20:58.7,NULL,NULL
138,H&S CM,H&S SB,0,System,20:58.7,NULL,NULL
139,H&S CM,H&S DSC,0,System,20:58.7,NULL,NULL
140,H&S CM,H&S AHF,0,System,20:58.7,NULL,NULL
141,H&S SS,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
142,H&S SS,H&S BC,0,System,20:58.7,NULL,NULL
143,H&S SS,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
144,H&S SS,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
145,H&S SS,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
146,H&S SS,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
147,H&S SS,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
148,H&S SS,H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
149,H&S SS,H&S LF,0,System,20:58.7,NULL,NULL
150,H&S SS,H&S CM,0,System,20:58.7,NULL,NULL
151,H&S SS,H&S SS,0,System,20:58.7,NULL,NULL
152,H&S SS,H&S SB,0,System,20:58.7,NULL,NULL
153,H&S SS,H&S DSC,0,System,20:58.7,NULL,NULL
154,H&S SS,H&S AHF,0,System,20:58.7,NULL,NULL
155,H&S SB,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
156,H&S SB,H&S BC,0,System,20:58.7,NULL,NULL
157,H&S SB,PTN AD (Colossus),1,System,20:58.7,NULL,NULL
158,H&S SB,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
159,H&S SB,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
160,H&S SB,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
161,H&S SB,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
162,H&S SB,H&S CBT/ Basic Cool,1,System,20:58.7,NULL,NULL
163,H&S SB,H&S LF,0,System,20:58.7,NULL,NULL
164,H&S SB,H&S CM,0,System,20:58.7,NULL,NULL
165,H&S SB,H&S SS,1,System,20:58.7,NULL,NULL
166,H&S SB,H&S SB,0,System,20:58.7,NULL,NULL
167,H&S SB,H&S DSC,1,System,20:58.7,NULL,NULL
168,H&S SB,H&S AHF,0,System,20:58.7,NULL,NULL
169,H&S DSC,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
170,H&S DSC,H&S BC,0,System,20:58.7,NULL,NULL
171,H&S DSC,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
172,H&S DSC,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
173,H&S DSC,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
174,H&S DSC,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
175,H&S DSC,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
176,H&S DSC,H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
177,H&S DSC,H&S LF,0,System,20:58.7,NULL,NULL
178,H&S DSC,H&S CM,0,System,20:58.7,NULL,NULL
179,H&S DSC,H&S SS,0,System,20:58.7,NULL,NULL
180,H&S DSC,H&S SB,0,System,20:58.7,NULL,NULL
181,H&S DSC,H&S DSC,0,System,20:58.7,NULL,NULL
182,H&S DSC,H&S AHF,0,System,20:58.7,NULL,NULL
183,H&S AHF,PTN LB (Colossus),1,System,20:58.7,NULL,NULL
184,H&S AHF,H&S BC,0,System,20:58.7,NULL,NULL
185,H&S AHF,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
186,H&S AHF,PTN LC (Colossus),1,System,20:58.7,NULL,NULL
187,H&S AHF,PTN SSC/ DMR (Colossus),1,System,20:58.7,NULL,NULL
188,H&S AHF,PTN TDC (Colossus),1,System,20:58.7,NULL,NULL
189,H&S AHF,PTN HFC (Colossus),1,System,20:58.7,NULL,NULL
190,H&S AHF,H&S CBT/ Basic Cool,0,System,20:58.7,NULL,NULL
191,H&S AHF,H&S LF,0,System,20:58.7,NULL,NULL
192,H&S AHF,H&S CM,0,System,20:58.7,NULL,NULL
193,H&S AHF,H&S SS,0,System,20:58.7,NULL,NULL
194,H&S AHF,H&S SB,0,System,20:58.7,NULL,NULL
195,H&S AHF,H&S DSC,0,System,20:58.7,NULL,NULL
196,H&S AHF,H&S AHF,0,System,20:58.7,NULL,NULL
197,H&S CM 2IN1,H&S AHF,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.2
198,H&S CM 2IN1,H&S BC,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.2
199,H&S CM 2IN1,H&S CBT/ Basic Cool,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.3
200,H&S CM 2IN1,H&S CM,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.3
201,H&S CM 2IN1,H&S CM 2IN1,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.3
202,H&S CM 2IN1,H&S DSC,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.3
203,H&S CM 2IN1,H&S LF,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.3
204,H&S CM 2IN1,H&S SB,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.4
205,H&S CM 2IN1,H&S SS,0,kumar.a.34@pg.com,46:00.0,kumar.a.34@pg.com,48:34.5
