Source_Description,Source_GCAS,Target_GCAS,Washout_Type
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,90275009,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,90275009,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,90275009,X
H&S SS 2IN1 ,21432817,90275009,X
H&S SS ,21422079,90275009,X
H&S AHF  Maverick,21417344,90275009,WASH
H&S AHF 2IN1 ,21412529,90275009,WASH
H&S SB ,21422081,90275009,X
H&S SB 2IN1 Maverick,91043645,90275009,X
H&S CM Maverick,90947730,90275009,X
H&S CM 2IN1 ,21422088,90275009,X
H&S Active Protect 2in1 Maverick,91005113,90275009,X
H&S LF Maverick,90966400,90275009,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,90275009,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,90275009,WASH
H&S Neem Maverick,91305780,90275009,WASH
H&S Daily Clean,21470269,90275009,X
 H&S Neem small sachet ,21448509,90275009,WASH
"H&S Daily Cool 
",21453170,90275009,X
"H&S Daily Smooth
",21470270,90275009,X
H&S Charcoal Deep Clean,21453169,90275009,WASH
Pantene Hair Science Lively Clean shampoo,20256318,90275009,X
Pantene Hair Science Luscious Thick shampoo,21309188,90275009,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,90275009,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,90275009,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,90275009,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,90275009,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21055594,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21055594,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21055594,X
H&S SS 2IN1 ,21432817,21055594,X
H&S SS ,21422079,21055594,X
H&S AHF  Maverick,21417344,21055594,WASH
H&S AHF 2IN1 ,21412529,21055594,WASH
H&S SB ,21422081,21055594,X
H&S SB 2IN1 Maverick,91043645,21055594,X
H&S CM Maverick,90947730,21055594,X
H&S CM 2IN1 ,21422088,21055594,X
H&S Active Protect 2in1 Maverick,91005113,21055594,X
H&S LF Maverick,90966400,21055594,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21055594,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21055594,X
H&S Neem Maverick,91305780,21055594,WASH
H&S Daily Clean,21470269,21055594,X
 H&S Neem small sachet ,21448509,21055594,WASH
"H&S Daily Cool 
",21453170,21055594,X
"H&S Daily Smooth
",21470270,21055594,X
H&S Charcoal Deep Clean,21453169,21055594,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21055594,X
Pantene Hair Science Luscious Thick shampoo,21309188,21055594,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21055594,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21055594,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21055594,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21055594,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21055593,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21055593,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21055593,X
H&S SS 2IN1 ,21432817,21055593,X
H&S SS ,21422079,21055593,X
H&S AHF  Maverick,21417344,21055593,WASH
H&S AHF 2IN1 ,21412529,21055593,WASH
H&S SB ,21422081,21055593,X
H&S SB 2IN1 Maverick,91043645,21055593,X
H&S CM Maverick,90947730,21055593,X
H&S CM 2IN1 ,21422088,21055593,X
H&S Active Protect 2in1 Maverick,91005113,21055593,X
H&S LF Maverick,90966400,21055593,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21055593,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21055593,WASH
H&S Neem Maverick,91305780,21055593,WASH
H&S Daily Clean,21470269,21055593,X
 H&S Neem small sachet ,21448509,21055593,WASH
"H&S Daily Cool 
",21453170,21055593,X
"H&S Daily Smooth
",21470270,21055593,X
H&S Charcoal Deep Clean,21453169,21055593,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21055593,X
Pantene Hair Science Luscious Thick shampoo,21309188,21055593,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21055593,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21055593,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21055593,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21055593,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21432817,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21432817,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21432817,X
H&S SS 2IN1 ,21432817,21432817,X
H&S SS ,21422079,21432817,X
H&S AHF  Maverick,21417344,21432817,WASH
H&S AHF 2IN1 ,21412529,21432817,WASH
H&S SB ,21422081,21432817,WASH
H&S SB 2IN1 Maverick,91043645,21432817,WASH
H&S CM Maverick,90947730,21432817,X
H&S CM 2IN1 ,21422088,21432817,X
H&S Active Protect 2in1 Maverick,91005113,21432817,X
H&S LF Maverick,90966400,21432817,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21432817,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21432817,WASH
H&S Neem Maverick,91305780,21432817,WASH
H&S Daily Clean,21470269,21432817,X
 H&S Neem small sachet ,21448509,21432817,WASH
"H&S Daily Cool 
",21453170,21432817,X
"H&S Daily Smooth
",21470270,21432817,X
H&S Charcoal Deep Clean,21453169,21432817,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21432817,X
Pantene Hair Science Luscious Thick shampoo,21309188,21432817,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21432817,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21432817,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21432817,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21432817,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21422079,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21422079,WASH
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21422079,X
H&S SS 2IN1 ,21432817,21422079,X
H&S SS ,21422079,21422079,X
H&S AHF  Maverick,21417344,21422079,WASH
H&S AHF 2IN1 ,21412529,21422079,WASH
H&S SB ,21422081,21422079,WASH
H&S SB 2IN1 Maverick,91043645,21422079,WASH
H&S CM Maverick,90947730,21422079,X
H&S CM 2IN1 ,21422088,21422079,X
H&S Active Protect 2in1 Maverick,91005113,21422079,X
H&S LF Maverick,90966400,21422079,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21422079,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21422079,WASH
H&S Neem Maverick,91305780,21422079,WASH
H&S Daily Clean,21470269,21422079,X
 H&S Neem small sachet ,21448509,21422079,WASH
"H&S Daily Cool 
",21453170,21422079,X
"H&S Daily Smooth
",21470270,21422079,X
H&S Charcoal Deep Clean,21453169,21422079,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21422079,X
Pantene Hair Science Luscious Thick shampoo,21309188,21422079,X
"Pantene Hair Science Deep Repair shampoo

Pantene Hair Science Hairfall Control shampoo",21302239,21422079,X
"Pantene Hair Science Healthy Shine shampoo

Pantene Hair Science Silky Smooth shampoo",21302240,21422079,X
PTN Pro-V 2 in1 Shampoo + Conditioner Silky Smooth ,21309190,21422079,X
"PTN Pro-V 2 in1 Shampoo + Conditioner Hair Fall Control
PTN Pro-V 2 in1 Shampoo + Conditioner Deep repair",21309189,21422079,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Menthol Fresh,90275009,21417344,X
Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Shiny Black,21055594,21417344,X
"Head & Shoulders 2in1 Anti - Dandruff Shampoo + Conditioner Soft & Silky
",21055593,21417344,X
H&S SS 2IN1 ,21432817,21417344,X
H&S SS ,21422079,21417344,X
H&S AHF  Maverick,21417344,21417344,X
H&S AHF 2IN1 ,21412529,21417344,X
H&S SB ,21422081,21417344,X
H&S SB 2IN1 Maverick,91043645,21417344,X
H&S CM Maverick,90947730,21417344,X
H&S CM 2IN1 ,21422088,21417344,X
H&S Active Protect 2in1 Maverick,91005113,21417344,X
H&S LF Maverick,90966400,21417344,X
H&S 7IN1 Anti Dandruff Shampoo ( Rolls Royce),21433480,21417344,X
H&S  Deep Cleanse anti dandruff Shampoo (Black Gold),21433484,21417344,WASH
H&S Neem Maverick,91305780,21417344,WASH
H&S Daily Clean,21470269,21417344,X
 H&S Neem small sachet ,21448509,21417344,WASH
"H&S Daily Cool 
",21453170,21417344,X
"H&S Daily Smooth
",21470270,21417344,X
H&S Charcoal Deep Clean,21453169,21417344,WASH
Pantene Hair Science Lively Clean shampoo,20256318,21417344,X
Pantene Hair Science Luscious Thick shampoo,21309188,21417344,X
