ID,From_Varient,To_Varient,WO,Updated_by,Updated_dt,Approved_by,Approved_dt
1,PTN LB (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
2,PTN LB (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
3,PTN LB (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
4,PTN LB (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
5,PTN LB (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
6,PTN LB (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
7,PTN LB (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
8,PTN LB (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
9,PTN LB (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
10,PTN LB (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
11,PTN HFC (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
12,PTN HFC (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
13,PTN HFC (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
14,PTN HFC (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
15,PTN HFC (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
16,PTN HFC (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
17,PTN HFC (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
18,PTN HFC (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
19,PTN HFC (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
20,PTN HFC (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
21,PTN AD (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
22,PTN AD (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
23,PTN AD (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
24,PTN AD (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
25,PTN AD (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
26,PTN AD (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
27,PTN AD (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
28,PTN AD (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
29,PTN AD (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
30,PTN AD (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
31,PTN TDC (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
32,PTN TDC (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
33,PTN TDC (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
34,PTN TDC (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
35,PTN TDC (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
36,PTN TDC (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
37,PTN TDC (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
38,PTN TDC (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
39,PTN TDC (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
40,PTN TDC (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
41,PTN SSC/ DMR (Colossus),PTN LB (Colossus),0,System,20:58.7,NULL,NULL
42,PTN SSC/ DMR (Colossus),PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
43,PTN SSC/ DMR (Colossus),PTN AD (Colossus),0,System,20:58.7,NULL,NULL
44,PTN SSC/ DMR (Colossus),PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
45,PTN SSC/ DMR (Colossus),PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
46,PTN SSC/ DMR (Colossus),H&S BC,0,System,20:58.7,NULL,NULL
47,PTN SSC/ DMR (Colossus),H&S DSC,0,System,20:58.7,NULL,NULL
48,PTN SSC/ DMR (Colossus),H&S SS,0,System,20:58.7,NULL,NULL
49,PTN SSC/ DMR (Colossus),H&S AHF,0,System,20:58.7,NULL,NULL
50,PTN SSC/ DMR (Colossus),H&S SB,0,System,20:58.7,NULL,NULL
51,H&S BC,PTN LB (Colossus),0,System,20:58.7,NULL,NULL
52,H&S BC,PTN HFC (Colossus),0,System,20:58.7,NULL,NULL
53,H&S BC,PTN AD (Colossus),0,System,20:58.7,NULL,NULL
54,H&S BC,PTN TDC (Colossus),0,System,20:58.7,NULL,NULL
55,H&S BC,PTN SSC/ DMR (Colossus),0,System,20:58.7,NULL,NULL
56,H&S BC,H&S BC,0,System,20:58.7,NULL,NULL
57,H&S BC,H&S DSC,0,System,20:58.7,NULL,NULL
