Id,DateandTime,BetaineTankLevel,SLS_Tank_A_Level,SLS_Tank_B_Level,SLE3S_Tank_A_Level,SLE3S_Tank_B_Level,SLE1S_Tank_Level,HAS_Tank_Level,HeatingBay_Tank_Level,HeatingBay_Tank_Temp,GelN_Tank_A_Level,GelN_Tank_B_Level,NACL6T_Level,NACL2T_Level,LPBase_Tank_Level,LPBase_SurgeTank_Level,HCBase_Tank_Level,THXN_Tank_Level,DM5500_Tank_Level,Dadmac_Tank_Level,Perfume1_Tank_Level,Perfume2_Tank_Level,Perfume3_Tank_Level,HotDI_Tank_Level,ColdDI_Tank_Level,1.25_Tank_Level,Benzyl_Tank_Level,Climbazole_Tank_Level,Kathon_Level,Pure_refresh,HCL
289261,2025-10-23 00:32:08.933,44.86057,46.90708,46.84211,52.04088,88.72503,0,72.92153,1776.265,49.98125,4514.444,-13.875,2182.875,1696.883,5230.376,861,7008,-76.125,20.16875,NULL,614.9325,539.4375,511.885,85.35846,89.02779,8.5,1264.911,1776.265,351.5078,948.2977,18.58625
289262,2025-10-23 00:37:35.190,44.84436,46.93632,47.11826,52.04088,88.74464,0,72.93126,1775.486,49.9875,4515.185,-13.5,2181.75,1697.257,5231.345,861,7008,-76.125,20.16875,NULL,614.9325,539.3812,511.885,85.41077,87.5,8.5,1264.473,1775.486,351.5078,948.7841,18.58625
289263,2025-10-23 00:38:41.127,44.81193,46.90708,47.18974,52.04088,88.75773,0,72.88911,1768.288,50,4515.185,-13.875,2181.375,1696.758,5231.345,861,7008,-76.125,20.16875,NULL,614.9325,539.4375,511.885,85.3877,88.33334,8.5,1264.668,1768.288,351.6699,949.2704,18.58625
289264,2025-10-23 00:39:25.290,44.78275,45.42885,47.19623,52.01159,88.77734,0,72.90532,1774.708,50.01875,4514.815,-13.5,2182.5,1696.883,5230.376,861,7008,-76.125,20.16875,NULL,614.985,539.4938,511.885,85.37385,88.19444,8.5,1264.668,1774.708,351.3456,947.8113,18.58625
289265,2025-10-23 00:40:30.020,44.8476,46.03963,47.26446,52.04088,88.51901,0,72.91829,1774.222,50.0125,4514.444,-13.875,2182.125,1697.008,5230.376,861,7008,-76.125,20.175,NULL,614.985,539.4375,511.885,85.34308,89.58334,8.5,1264.425,1774.222,351.6699,948.2977,18.58625
289266,2025-10-23 00:41:29.983,44.8476,46.77713,47.35218,52.04088,88.50266,0,72.91505,1774.222,50,4514.444,-13.875,2181.375,1697.008,5230.376,861,7008,-76.125,20.16875,NULL,615.09,539.4375,511.885,85.3877,87.5,8.5,1264.862,1774.222,351.6699,949.2704,18.58625
289267,2025-10-23 00:42:20.353,44.85084,46.90708,47.36842,52.04088,88.76753,0,72.90532,1774.805,50.025,4514.444,-14.25,2181.75,1696.883,5230.376,861,7008,-76.125,20.175,NULL,615.1425,539.4375,511.885,85.35846,87.22221,8.5,1264.619,1774.805,351.3456,947.8113,18.58625
289268,2025-10-23 00:42:56.713,44.81842,46.90708,47.21898,52.01159,88.74464,0,72.9118,1774.708,48.91875,4514.815,-13.875,2181,1697.132,5230.376,861,7008,-76.125,20.16875,NULL,615.09,539.3812,511.83,85.38,88.33334,8.5,1264.668,1774.708,351.6699,948.7841,18.58625
289269,2025-10-23 00:43:31.300,44.83139,46.90708,47.30019,52.04088,88.74464,0,72.93774,1773.152,49.175,4514.815,-13.875,2301.75,1697.132,5230.376,861,7008,-76.125,20.175,NULL,614.985,539.3812,511.885,85.38,89.86111,8.5,1264.425,1773.152,351.6699,948.7841,18.58625
289270,2025-10-23 00:44:06.153,44.83787,46.93632,47.39116,52.04088,88.74138,0,72.94747,1776.459,49.4,4515.185,-14.25,2205.75,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.1425,539.4375,511.83,85.36616,88.05556,8.5,1264.911,1776.459,351.8158,949.2704,18.58625
289271,2025-10-23 00:44:40.290,44.87679,46.8746,46.66017,51.3671,88.74792,0,72.97017,1776.07,49.6,4514.444,-14.25,2187,1697.008,5230.376,861,7008,-76.125,20.175,NULL,615.09,539.4938,511.885,85.37385,89.30556,8.5,1264.619,1776.07,351.5078,948.7841,18.58625
289272,2025-10-23 00:45:14.820,44.86381,46.90708,46.64392,51.4973,88.71522,0,72.90532,1774.416,49.55625,4515.556,-13.875,2182.875,1697.257,5230.376,861,7008,-76.125,20.175,NULL,615.2475,539.4375,511.885,85.35077,87.36111,8.5,1264.862,1774.416,351.3456,948.2977,18.58625
289273,2025-10-23 00:45:51.790,44.89624,46.90708,47.02729,51.68934,88.72503,0,72.95071,1774.514,49.56875,4514.815,-13.875,2182.5,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.195,539.4375,511.885,85.3877,88.75,8.5,1264.619,1774.514,351.3456,948.2977,18.58625
289274,2025-10-23 00:46:29.240,44.83463,46.93632,47.11826,52.04088,88.73157,0,72.91829,1775,49.56875,4514.815,-14.25,2183.25,1697.257,5230.376,861,7008,-76.125,20.16875,NULL,615.1425,539.4375,511.83,85.36616,90,8.5,1264.716,1775,351.6699,948.7841,18.58625
289275,2025-10-23 00:47:04.063,44.8476,46.90708,47.23847,52.04088,88.76427,0,72.9799,1771.303,49.7,4514.815,-13.5,2182.5,1697.507,5231.345,861,7008,-76.125,20.16875,NULL,615.195,539.4375,511.83,85.38,88.33334,8.5,1265.64,1771.303,351.3456,948.2977,18.58625
289276,2025-10-23 00:47:39.580,44.8022,46.90708,47.30994,51.97904,88.73157,0,72.90532,1771.498,49.81875,4514.074,-13.875,2181.75,1697.632,5230.376,861,7008,-76.125,20.16875,NULL,615.09,539.4375,511.885,85.35077,89.86111,8.5,1265.737,1771.498,351.5078,948.2977,18.58625
289277,2025-10-23 00:48:15.657,44.85408,45.97466,47.31319,51.97904,88.77734,0,72.95396,1775.973,49.90625,4514.815,-13.5,2181.75,1697.132,5229.409,861,7008,-76.125,20.175,NULL,615.195,539.4938,511.83,85.33539,87.77779,8.5,1264.668,1775.973,351.6699,948.7841,18.58625
